scenario,layer,iter_in_layer,global_iter,energy
Aer Noise Model,2,34,102,-0.25006612373272075
Aer Noise Model,2,35,103,-0.22140660396255477
Aer Noise Model,2,36,104,-0.28294760233685157
Aer Noise Model,2,37,105,-0.23020687044949759
Aer Noise Model,2,38,106,-0.2445239035910445
Aer Noise Model,2,39,107,-0.27842186166804456
Aer Noise Model,2,40,108,-0.25509374076619434
Aer Noise Model,2,41,109,-0.23749431446565952
Aer Noise Model,2,42,110,-0.25844806769299566
Aer Noise Model,2,43,111,-0.2709584565890779
Aer Noise Model,2,44,112,-0.27966963587126753
Aer Noise Model,2,45,113,-0.233810198880268
Aer Noise Model,2,46,114,-0.24330656290497343
Aer Noise Model,2,47,115,-0.2293043783317786
Aer Noise Model,2,48,116,-0.23652763529358392
Aer Noise Model,2,49,117,-0.2670308728664722
Aer Noise Model,2,50,118,-0.2809827038021978
Aer Noise Model,2,51,119,-0.2314524313060185
Aer Noise Model,2,52,120,-0.23806591125143745
Aer Noise Model,2,53,121,-0.23723922625826005
Aer Noise Model,2,54,122,-0.2365005217964851
Aer Noise Model,2,55,123,-0.24237640395348
Aer Noise Model,2,56,124,-0.27139835924608996
Aer Noise Model,2,57,125,-0.25004841695910524
Aer Noise Model,2,58,126,-0.2797863899097952
Aer Noise Model,2,59,127,-0.2542786758432023
Aer Noise Model,2,60,128,-0.23690611757961705
Aer Noise Model,2,61,129,-0.256749324099251
Aer Noise Model,2,62,130,-0.26976435604337734
Aer Noise Model,2,63,131,-0.28665385138926247
Aer Noise Model,2,64,132,-0.23397896656629155
Aer Noise Model,2,65,133,-0.24744607457429055
Aer Noise Model,2,66,134,-0.2721038635073357
Aer Noise Model,2,67,135,-0.23394244634570935
Aer Noise Model,2,68,136,-0.2648545997217825
Aer Noise Model,2,69,137,-0.23655032209727891
Aer Noise Model,2,70,138,-0.25513966771025975
Aer Noise Model,2,71,139,-0.2280931243491379
Aer Noise Model,2,72,140,-0.28615806172802627
Aer Noise Model,2,73,141,-0.22802451060137752
Aer Noise Model,2,74,142,-0.24814051210202656
Aer Noise Model,2,75,143,-0.2795434751092564
Aer Noise Model,2,76,144,-0.25401971427907444
Aer Noise Model,2,77,145,-0.23473869782173498
Aer Noise Model,2,78,146,-0.2546438780490235
Aer Noise Model,2,79,147,-0.2731607365575156
Aer Noise Model,2,80,148,-0.2812394520196237
Aer Noise Model,2,81,149,-0.2332701422849928
Aer Noise Model,2,82,150,-0.24563002360534275
Aer Noise Model,2,83,151,-0.22863096759771112
Aer Noise Model,2,84,152,-0.2694273740080058
Aer Noise Model,2,85,153,-0.29114085849078536
Aer Noise Model,2,86,154,-0.29295082275630285
Aer Noise Model,2,87,155,-0.2870179469217328
Aer Noise Model,2,88,156,-0.28638105640824746
Aer Noise Model,2,89,157,-0.30184847649813146
Aer Noise Model,2,90,158,-0.29357553986292756
Aer Noise Model,2,91,159,-0.2825043796597866
Aer Noise Model,2,92,160,-0.2972164951876311
Aer Noise Model,2,93,161,-0.28695320653070094
Aer Noise Model,2,94,162,-0.2954120642888684
Aer Noise Model,2,95,163,-0.2923078455393871
Aer Noise Model,2,96,164,-0.2955232849606413
Aer Noise Model,2,97,165,-0.2967262388931497
Aer Noise Model,2,98,166,-0.2966006314678142
Aer Noise Model,2,99,167,-0.29813503406893926
